Date,Sales
2018-01-01,134.93428306022466
2018-02-01,144.7465104815877
2018-03-01,171.3748233935928
2018-04-01,186.39344626475088
2018-05-01,137.15903776869118
2018-06-01,116.36989243996376
2018-07-01,131.8474142048847
2018-08-01,101.52110860436255
2018-09-01,74.29472280761674
2018-10-01,105.44466752460264
2018-11-01,107.83690930164546
2018-12-01,137.00119440227908
2019-01-01,180.36556122079438
2019-02-01,159.7725074013291
2019-03-01,174.44901177079197
2019-04-01,195.21341434124457
2019-05-01,172.11179864594308
2019-06-01,177.8638940203265
2019-07-01,132.6289921737863
2019-08-01,108.45265578407225
2019-09-01,163.52350169422056
2019-10-01,140.60425643262633
2019-11-01,168.98214304112685
2019-12-01,168.34714153888876
2020-01-01,215.16497708844372
2020-02-01,250.78287987815608
2020-03-01,236.45381266208025
2020-04-01,264.4994410824512
2020-05-01,230.88196304372917
2020-06-01,216.2713881620292
2020-07-01,189.28165722909628
2020-08-01,224.2706092904305
2020-09-01,184.46689761050447
2020-10-01,174.4918796527127
2020-11-01,234.60879297890585
2020-12-01,222.95154805321113
2021-01-01,280.75621926851613
2021-02-01,259.897341395837
2021-03-01,283.4362790220314
2021-04-01,311.4490212223939
2021-05-01,308.19038423148714
2021-06-01,276.05894457116784
2021-07-01,249.52913961539312
2021-08-01,231.7292874779397
2021-09-01,205.69271808738827
2021-10-01,231.7755298534102
2021-11-01,259.47143510712004
2021-12-01,319.0371813664836
2022-01-01,333.977628949264
2022-02-01,314.35625655565144
2022-03-01,367.00799517736954
2022-04-01,350.33646668615876
2022-05-01,330.4089284149334
2022-06-01,335.39142051365945
2022-07-01,322.9884115025506
2022-08-01,306.9032795615231
2022-09-01,269.00512321975776
2022-10-01,290.51448229375376
2022-11-01,325.8357949438608
2022-12-01,367.93195517402614
2023-01-01,368.0480941904626
2023-02-01,396.4301959191035
2023-03-01,388.92593209882676
2023-04-01,384.64029560234536
2023-05-01,410.72420065841027
2023-06-01,400.80901109773225
2023-07-01,351.4545344104986
2023-08-01,358.8746509265133
2023-09-01,343.5485099746369
2023-10-01,334.3226505081492
2023-11-01,376.9647542154314
2023-12-01,429.70809975037196
2024-01-01,427.44137395464304
2024-02-01,481.96256435813365
2024-03-01,409.18404528662614
2024-04-01,475.5287939609369
2024-05-01,446.74094136476344
2024-06-01,418.2303793064721
2024-07-01,405.25626816228896
2024-08-01,349.5789304661286
2024-09-01,382.4486675064076
2024-10-01,404.8936128199603
2024-11-01,449.8210387895671
2024-12-01,439.10827984505335
2025-01-01,462.514338468452
2025-02-01,491.1608661596365
2025-03-01,530.4133055119363
2025-04-01,516.1920818560998
2025-05-01,484.93111171413284
2025-06-01,485.00219076753024
2025-07-01,455.8889194080134
2025-08-01,459.22952435827796
2025-09-01,423.3273591750845
2025-10-01,441.7244342472437
2025-11-01,462.94731062156734
2025-12-01,470.72970103735764
